Ańo;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
1985;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.2;Grados centígrados;
1985;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;11.8;Grados centígrados;
1985;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;14.8;Grados centígrados;
1985;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.3;Grados centígrados;
1985;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;14.1;Grados centígrados;
1986;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;13.5;Grados centígrados;
1986;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.2;Grados centígrados;
1986;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;11.6;Grados centígrados;
1986;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;14.1;Grados centígrados;
1986;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;12.6;Grados centígrados;
1987;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.9;Grados centígrados;
1987;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;14.8;Grados centígrados;
1987;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;14.3;Grados centígrados;
1987;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;12.0;Grados centígrados;
1987;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.6;Grados centígrados;
1988;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;14.6;Grados centígrados;
1988;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;13.7;Grados centígrados;
1988;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.7;Grados centígrados;
1988;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;11.3;Grados centígrados;
1988;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.1;Grados centígrados;
1989;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;11.8;Grados centígrados;
1989;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.6;Grados centígrados;
1989;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;15.3;Grados centígrados;
1989;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.9;Grados centígrados;
1989;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;15.6;Grados centígrados;
1990;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.4;Grados centígrados;
1990;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;15.0;Grados centígrados;
1990;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;15.0;Grados centígrados;
1990;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.6;Grados centígrados;
1990;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;11.5;Grados centígrados;
1991;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;10.8;Grados centígrados;
1991;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;12.8;Grados centígrados;
1991;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;13.7;Grados centígrados;
1991;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;14.4;Grados centígrados;
1991;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.0;Grados centígrados;
1992;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.1;Grados centígrados;
1992;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;12.3;Grados centígrados;
1992;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.0;Grados centígrados;
1992;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;13.7;Grados centígrados;
1992;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;14.0;Grados centígrados;
1993;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;-;Grados centígrados;
1993;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;13.6;Grados centígrados;
1993;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;13.8;Grados centígrados;
1993;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;10.4;Grados centígrados;
1993;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;12.6;Grados centígrados;
1994;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.0;Grados centígrados;
1994;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;12.3;Grados centígrados;
1994;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;-;Grados centígrados;
1994;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;15.3;Grados centígrados;
1994;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.7;Grados centígrados;
1995;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;16.0;Grados centígrados;
1995;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;12.6;Grados centígrados;
1995;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.4;Grados centígrados;
1995;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;14.8;Grados centígrados;
1995;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.9;Grados centígrados;
1996;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.4;Grados centígrados;
1996;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;14.6;Grados centígrados;
1996;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;13.9;Grados centígrados;
1996;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;12.8;Grados centígrados;
1996;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;11.6;Grados centígrados;
1997;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;15.6;Grados centígrados;
1997;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.4;Grados centígrados;
1997;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;-;Grados centígrados;
1997;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.8;Grados centígrados;
1997;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;12.4;Grados centígrados;
1998;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;12.2;Grados centígrados;
1998;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.8;Grados centígrados;
1998;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;14.9;Grados centígrados;
1998;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;14.2;Grados centígrados;
1998;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.4;Grados centígrados;
1999;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;14.0;Grados centígrados;
1999;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.2;Grados centígrados;
1999;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;15.0;Grados centígrados;
1999;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
1999;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.6;Grados centígrados;
2000;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2000;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;13.7;Grados centígrados;
2000;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;15.1;Grados centígrados;
2000;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.6;Grados centígrados;
2000;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.2;Grados centígrados;
2001;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.8;Grados centígrados;
2001;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2001;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;14.0;Grados centígrados;
2001;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;15.2;Grados centígrados;
2001;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.1;Grados centígrados;
2002;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;14.0;Grados centígrados;
2002;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.9;Grados centígrados;
2002;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.0;Grados centígrados;
2002;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2002;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;15.2;Grados centígrados;
2003;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.6;Grados centígrados;
2003;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;15.8;Grados centígrados;
2003;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.5;Grados centígrados;
2003;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2003;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;14.5;Grados centígrados;
2004;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.0;Grados centígrados;
2004;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.8;Grados centígrados;
2004;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2004;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;11.9;Grados centígrados;
2004;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;15.2;Grados centígrados;
2005;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.0;Grados centígrados;
2005;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;12.5;Grados centígrados;
2005;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.2;Grados centígrados;
2005;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;15.2;Grados centígrados;
2005;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2006;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.6;Grados centígrados;
2006;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2006;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;16.1;Grados centígrados;
2006;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.8;Grados centígrados;
2006;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;12.2;Grados centígrados;
2007;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;13.0;Grados centígrados;
2007;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.3;Grados centígrados;
2007;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2007;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;15.1;Grados centígrados;
2007;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;12.9;Grados centígrados;
2008;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;12.9;Grados centígrados;
2008;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;15.1;Grados centígrados;
2008;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;12.0;Grados centígrados;
2008;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2008;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.4;Grados centígrados;
2009;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;16.2;Grados centígrados;
2009;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;14.4;Grados centígrados;
2009;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.2;Grados centígrados;
2009;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2009;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.9;Grados centígrados;
2010;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;15.0;Grados centígrados;
2010;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2010;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;12.7;Grados centígrados;
2010;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;13.6;Grados centígrados;
2010;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.1;Grados centígrados;
2011;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.1;Grados centígrados;
2011;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;16.2;Grados centígrados;
2011;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;14.2;Grados centígrados;
2011;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2011;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;15.3;Grados centígrados;
2012;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;16.0;Grados centígrados;
2012;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.0;Grados centígrados;
2012;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;14.0;Grados centígrados;
2012;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;14.0;Grados centígrados;
2012;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2013;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;12.8;Grados centígrados;
2013;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;14.1;Grados centígrados;
2013;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2013;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.0;Grados centígrados;
2013;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;15.2;Grados centígrados;
2014;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;15.3;Grados centígrados;
2014;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.4;Grados centígrados;
2014;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.9;Grados centígrados;
2014;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2014;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;16.2;Grados centígrados;
2015;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2015;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.6;Grados centígrados;
2015;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;-;Grados centígrados;
2015;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;14.5;Grados centígrados;
2015;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;16.5;Grados centígrados;
2016;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;-;Grados centígrados;
2016;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2016;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.8;Grados centígrados;
2016;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;16.2;Grados centígrados;
2016;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.9;Grados centígrados;
2017;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2017;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;15.3;Grados centígrados;
2017;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;14.8;Grados centígrados;
2017;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;16.7;Grados centígrados;
2017;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.7;Grados centígrados;
2018;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;14.8;Grados centígrados;
2018;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;14.6;Grados centígrados;
2018;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2018;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;13.3;Grados centígrados;
2018;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;15.6;Grados centígrados;
2019;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;14.2;Grados centígrados;
2019;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;16.4;Grados centígrados;
2019;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2019;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.3;Grados centígrados;
2019;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;15.1;Grados centígrados;
2020;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2020;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;-;Grados centígrados;
2020;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;16.4;Grados centígrados;
2020;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.0;Grados centígrados;
2020;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;14.1;Grados centígrados;
2021;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.9;Grados centígrados;
2021;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2021;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;14.7;Grados centígrados;
2021;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;13.8;Grados centígrados;
2021;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;14.1;Grados centígrados;
2022;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;16.2;Grados centígrados;
2022;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.9;Grados centígrados;
2022;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;15.1;Grados centígrados;
2022;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2022;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;17.3;Grados centígrados;
2023;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;14.7;Grados centígrados;
2023;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;16.9;Grados centígrados;
2023;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.4;Grados centígrados;
2023;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2023;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;15.6;Grados centígrados;
2024;Temperatura media anual en el observatorio de Colmenar Viejo (FAMET);Otros;;;14.6;Grados centígrados;
2024;Temperatura media anual en el observatorio de Torrejón de Ardoz (Base Aérea);Otros;;;15.5;Grados centígrados;
2024;Temperatura media anual en el observatorio de Puentes Viejas (Presa de Puentes Viejas);Otros;;;-;Grados centígrados;
2024;Temperatura media anual en el observatorio de Alcalá de Henares (El Encín);Otros;;;15.8;Grados centígrados;
2024;Temperatura media anual en el observatorio de Getafe (Base Aérea);Otros;;;16.8;Grados centígrados;
